row_type,module_title,module_description,lesson_title,lesson_body,question_text,question_type,option_a,option_b,option_c,option_d,option_e,option_f,correct_answers,explanation,difficulty,tags,acceptable_answers,match_mode,correct_order,matching_left,matching_right,callout_style,callout_title,embed_type,url,caption,alt,mermaid,video_url
content,Storage & Databases,,"EBS, EFS, and FSx","## AWS Storage: EBS, EFS, and FSx\n\n### Amazon EBS (Elastic Block Store)\nBlock-level storage volumes for EC2 instances. Think: virtual hard drive.\n\n- Attached to **one EC2 instance** at a time (except io1/io2 Multi-Attach)\n- Persists independently from the instance (unlike instance store)\n- Snapshots to S3 for backup/migration\n- **Volume types:**\n  - **gp3/gp2:** General purpose SSD (boot volumes, dev/test)\n  - **io2/io1:** Provisioned IOPS SSD (databases, high-performance)\n  - **st1:** Throughput-optimized HDD (big data, log processing)\n  - **sc1:** Cold HDD (infrequent access, lowest cost)\n\n### Amazon EFS (Elastic File System)\nManaged NFS file system, mountable by **multiple EC2 instances simultaneously** across AZs.\n- POSIX-compliant, scales automatically\n- Standard and Infrequent Access tiers\n- Best for: shared content, web serving, data analytics, container storage\n\n### Amazon FSx\nManaged third-party file systems:\n- **FSx for Windows:** SMB protocol, Active Directory integration\n- **FSx for Lustre:** High-performance computing (HPC), ML training\n- **FSx for NetApp ONTAP:** Multi-protocol (NFS, SMB, iSCSI)\n- **FSx for OpenZFS:** Linux workloads needing ZFS features",,,,,,,,,,,,,,,,,,,,,,,,,
question,Storage & Databases,,"EBS, EFS, and FSx",,Match each storage service to its distinguishing characteristic:,matching,,,,,,,,EBS is persistent block storage for one instance. EFS is shared NFS storage. FSx for Windows provides native Windows file sharing. Instance Store is physically attached to the host — fast but ephemeral.,2,EBS;EFS;FSx;storage,,,,EBS|EFS|FSx for Windows|Instance Store,Block storage attached to a single EC2 instance|NFS file system shared across multiple EC2 instances|SMB protocol with Active Directory integration|Ephemeral storage that is lost when the instance stops,,,,,,,,
question,Storage & Databases,,"EBS, EFS, and FSx",,Multiple Linux-based EC2 instances across different AZs need to share the same file system simultaneously. Which service should be used?,multiple_choice,Amazon EBS gp3 volume,Amazon EFS,Amazon S3,Instance Store,,,b,"Amazon EFS is a managed NFS file system that can be mounted by multiple EC2 instances across AZs simultaneously. EBS volumes attach to one instance (usually). S3 is object storage, not a mountable file system. Instance Store is ephemeral and local.",2,EFS;shared storage,,,,,,,,,,,,,
question,Storage & Databases,,"EBS, EFS, and FSx",,"EBS snapshots are stored in Amazon S3, but you cannot directly access them as S3 objects.",true_false,True,False,,,,,a,"True. EBS snapshots are stored in S3 behind the scenes, but they appear only in the EC2 console/API — you cannot see or access them directly through the S3 console or API. They are managed entirely through the EBS snapshot interface.",2,EBS;snapshots,,,,,,,,,,,,,
structure,Storage & Databases,,RDS & Aurora,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Storage & Databases,,RDS & Aurora,"## Amazon RDS & Aurora\n\n### Amazon RDS (Relational Database Service)\nManaged relational database supporting: MySQL, PostgreSQL, MariaDB, Oracle, SQL Server.\n\n**Key features:**\n- Automated backups (up to 35 days retention)\n- Multi-AZ for HA (synchronous standby, automatic failover)\n- Read Replicas for read scaling (asynchronous, up to 15 replicas)\n- Automatic patching and maintenance windows\n- Encryption at rest (KMS) and in transit (SSL/TLS)\n\n### Amazon Aurora\nAWS's cloud-native relational database, **compatible with MySQL and PostgreSQL** but with significant improvements:\n\n- **Performance:** Up to 5x faster than MySQL, 3x faster than PostgreSQL\n- **Storage:** Auto-scales up to 128 TB, replicated 6 ways across 3 AZs\n- **Replicas:** Up to 15 Aurora Replicas with sub-10ms replica lag\n- **Aurora Serverless:** Auto-scales compute capacity based on demand (scales to zero for v2)\n- **Aurora Global Database:** Cross-region replication with <1 second lag\n- **Backtrack:** Rewind the database to a specific point in time without restoring from backup\n\n**Aurora is the default recommendation** for relational workloads on AWS unless you need a specific engine version or feature only available in standard RDS.",,,,,,,,,,,,,,,,,,,,,,,,,
embed,Storage & Databases,,RDS & Aurora,,,,,,,,,,,,,,,,,,,,,diagram,,,,"graph TD\n  subgraph ""Aurora Cluster""\n    W[""Writer Instance""] --> S1[""Shared Storage<br>6 copies across 3 AZs""]\n    R1[""Reader 1""] --> S1\n    R2[""Reader 2""] --> S1\n    R3[""Reader 3""] --> S1\n  end\n  App[""Application""] -->|""Writes""| W\n  App -->|""Reads""| EP[""Reader Endpoint""]\n  EP --> R1\n  EP --> R2\n  EP --> R3",
callout,Storage & Databases,,RDS & Aurora,- **Need MySQL/PostgreSQL compatible with better performance?** → Aurora\n- **Need to scale to zero during idle periods?** → Aurora Serverless v2\n- **Need global cross-region database?** → Aurora Global Database\n- **Need Oracle or SQL Server?** → Standard RDS (Aurora doesn't support these)\n- **Need the cheapest option for a small database?** → RDS (Aurora has higher minimum cost),,,,,,,,,,,,,,,,,,exam_note,Aurora vs RDS Decision,,,,,,
question,Storage & Databases,,RDS & Aurora,,"A company needs a MySQL-compatible database with automatic failover, sub-10ms read replica lag, and storage that auto-scales to 128 TB. Which service best meets these requirements?",multiple_choice,Amazon RDS MySQL with Multi-AZ,Amazon Aurora MySQL,Amazon DynamoDB,MySQL on EC2 with EBS volumes,,,b,"Aurora MySQL provides MySQL compatibility, automatic failover, up to 15 replicas with sub-10ms lag, and auto-scaling storage up to 128 TB. Standard RDS MySQL has higher replica lag and doesn't auto-scale storage the same way.",2,Aurora;RDS,,,,,,,,,,,,,
question,Storage & Databases,,RDS & Aurora,,Select ALL correct statements about RDS Multi-AZ deployments:,multiple_select,The standby replica uses synchronous replication,The standby can be used for read queries to offload the primary,Failover is automatic and typically takes 60-120 seconds,Multi-AZ deployment spans multiple AWS regions,,,"a,c",Multi-AZ uses synchronous replication (a) and provides automatic failover in 60-120 seconds (c). The standby is NOT readable (b) — use Read Replicas for that. Multi-AZ is within a single region (d) — use Aurora Global Database for multi-region.,3,RDS;Multi-AZ,,,,,,,,,,,,,
structure,Storage & Databases,,DynamoDB & ElastiCache,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Storage & Databases,,DynamoDB & ElastiCache,"## Amazon DynamoDB\n\nFully managed **NoSQL key-value and document database** with single-digit millisecond performance at any scale.\n\n**Key concepts:**\n- **Table → Items → Attributes** (similar to table → rows → columns)\n- **Primary key:** Partition key alone, or partition key + sort key (composite)\n- **Capacity modes:** On-demand (pay per request) or Provisioned (specify RCU/WCU)\n- **DynamoDB Accelerator (DAX):** In-memory cache for DynamoDB, microsecond read latency\n- **Global Tables:** Multi-region, fully replicated tables for global applications\n- **DynamoDB Streams:** Capture item-level changes for event-driven processing\n- **TTL (Time to Live):** Automatically delete expired items at no cost\n\n**When to choose DynamoDB:**\n- Key-value lookups at massive scale\n- Predictable, single-digit ms latency\n- Serverless architecture (pairs naturally with Lambda)\n- Session storage, gaming leaderboards, IoT data\n\n## Amazon ElastiCache\n\nManaged in-memory caching service:\n- **ElastiCache for Redis:** Rich data structures, pub/sub, persistence, replication\n- **ElastiCache for Memcached:** Simple key-value, multi-threaded, no persistence\n\n**Common caching patterns:** Database query caching, session storage, real-time leaderboards, rate limiting.",,,,,,,,,,,,,,,,,,,,,,,,,
question,Storage & Databases,,DynamoDB & ElastiCache,,Match each service to its primary use case:,matching,,,,,,,,DynamoDB is the primary NoSQL database. DAX is an add-on cache that sits in front of DynamoDB for microsecond reads. Redis offers feature-rich caching. Memcached is simpler but multi-threaded for pure caching use cases.,2,DynamoDB;ElastiCache,,,,DynamoDB|DAX|ElastiCache for Redis|ElastiCache for Memcached,Serverless NoSQL with single-digit ms latency at any scale|Microsecond read cache specifically for DynamoDB|In-memory cache with rich data structures and persistence|Simple multi-threaded caching without persistence,,,,,,,,
question,Storage & Databases,,DynamoDB & ElastiCache,,"A gaming application needs a global leaderboard with real-time scores, sub-millisecond read latency, and sorted ranking. Which combination of services is most appropriate?",multiple_choice,DynamoDB Global Tables + DAX,ElastiCache for Redis with sorted sets,RDS Aurora with read replicas,S3 with CloudFront caching,,,b,Redis sorted sets are purpose-built for leaderboards: they maintain elements sorted by score with O(log n) insert and O(log n) range queries. This provides sub-millisecond latency for real-time ranking operations.,3,ElastiCache;Redis;gaming,,,,,,,,,,,,,
question,Storage & Databases,,DynamoDB & ElastiCache,,DynamoDB Global Tables provide multi-region replication with an active-active configuration.,true_false,True,False,,,,,a,"True. DynamoDB Global Tables replicate data across multiple AWS regions with active-active access — you can read and write to the table in any region. Changes are replicated to all regions, typically within a second.",2,DynamoDB;Global Tables,,,,,,,,,,,,,
structure,Security & Identity,"IAM policies and roles, encryption with KMS and CloudHSM, and AWS security services for threat detection and compliance.",,,,,,,,,,,,,,,,,,,,,,,,,,,
structure,Security & Identity,,IAM Deep Dive,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Security & Identity,,IAM Deep Dive,"## AWS Identity and Access Management (IAM)\n\nIAM controls **who** (authentication) can do **what** (authorization) on **which** AWS resources.\n\n### Key Components\n\n**Users:** Individual identities with long-term credentials. Best practice: one user per person.\n\n**Groups:** Collections of users. Assign policies to groups, not individual users.\n\n**Roles:** Temporary credentials for AWS services, applications, or cross-account access. No permanent passwords — uses temporary security tokens via STS.\n\n**Policies:** JSON documents defining permissions. Types:\n- **Identity-based:** Attached to users, groups, or roles\n- **Resource-based:** Attached to resources (S3 bucket policies, SQS queue policies)\n- **Service Control Policies (SCPs):** Organization-wide guardrails (AWS Organizations)\n\n### Policy Evaluation Logic\n1. By default, all requests are **denied** (implicit deny)\n2. An explicit **allow** overrides the implicit deny\n3. An explicit **deny** always overrides any allow\n4. SCPs, permission boundaries, and session policies can further restrict\n\n**Best practices:**\n- Use roles for EC2 instances (never embed access keys)\n- Enable MFA for privileged accounts\n- Follow least privilege: grant only the permissions needed\n- Use IAM Access Analyzer to identify unused permissions",,,,,,,,,,,,,,,,,,,,,,,,,
embed,Security & Identity,,IAM Deep Dive,,,,,,,,,,,,,,,,,,,,,diagram,,,,"graph TD\n  ROOT[""AWS Account Root""] --> OU[""AWS Organizations""]\n  OU --> SCP[""Service Control Policies""]\n  SCP --> U[""IAM Users""]\n  SCP --> G[""IAM Groups""]\n  SCP --> R[""IAM Roles""]\n  G -->|""contains""| U\n  P[""IAM Policies""] -->|""attached to""| U\n  P -->|""attached to""| G\n  P -->|""attached to""| R\n  R -->|""assumed by""| EC2[""EC2 Instance""]\n  R -->|""assumed by""| Lambda[""Lambda Function""]",
question,Security & Identity,,IAM Deep Dive,,Put the IAM policy evaluation steps in the correct order:,ordering,All requests start as implicitly denied,"Check for explicit deny — if found, request is denied (final)","Check for explicit allow — if found, request is allowed","If no explicit allow is found, request remains denied",,,,"IAM starts with implicit deny (a). Explicit denies are checked first and always win (b). If no explicit deny, explicit allows are checked (c). If no explicit allow is found, the implicit deny stands (d). Remember: deny always wins.",3,IAM;policy evaluation,,,"a,b,c,d",,,,,,,,,,
question,Security & Identity,,IAM Deep Dive,,An EC2 instance needs to read objects from an S3 bucket. What is the most secure way to grant this access?,multiple_choice,Store AWS access keys in the application code on the instance,Attach an IAM role with S3 read permissions to the EC2 instance,Make the S3 bucket public,Store access keys in an environment variable on the instance,,,b,IAM roles provide temporary credentials that are automatically rotated. No need to manage or embed long-term access keys. The EC2 instance assumes the role and gets temporary credentials via the instance metadata service.,2,IAM;roles;EC2,,,,,,,,,,,,,
callout,Security & Identity,,IAM Deep Dive,"- **""EC2 needs access to S3/DynamoDB/etc.""** → IAM Role attached to EC2\n- **""Cross-account access""** → IAM Role with trust policy\n- **""Temporary credentials""** → STS AssumeRole\n- **""Organization-wide restrictions""** → Service Control Policies (SCPs)\n- **""Limit permissions for a specific session""** → Permission Boundaries",,,,,,,,,,,,,,,,,,exam_note,IAM Exam Patterns,,,,,,
structure,Security & Identity,,Encryption: KMS & CloudHSM,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Security & Identity,,Encryption: KMS & CloudHSM,"## AWS Encryption Services\n\n### AWS KMS (Key Management Service)\nManaged service for creating and controlling encryption keys.\n\n**Key types:**\n- **AWS managed keys:** Created and managed by AWS for specific services (e.g., `aws/s3`, `aws/ebs`)\n- **Customer managed keys (CMK):** You create, manage, and control rotation\n- **Customer provided keys:** You generate keys outside AWS and import them\n\n**Key features:**\n- Automatic key rotation (annual for customer managed keys)\n- Audit key usage via CloudTrail\n- Integrated with 100+ AWS services\n- Regional service — keys don't leave the region they're created in\n\n### Envelope Encryption\nFor data >4 KB, KMS uses **envelope encryption:**\n1. KMS generates a **Data Encryption Key (DEK)**\n2. DEK encrypts the data locally\n3. KMS encrypts the DEK with the master key\n4. Store the encrypted DEK alongside the encrypted data\n\n### AWS CloudHSM\nDedicated **hardware security modules** (HSMs) in the AWS cloud.\n- You manage the keys (AWS manages the hardware)\n- FIPS 140-2 Level 3 validated\n- Supports asymmetric keys (KMS is primarily symmetric)\n- Required for: regulatory requirements mandating dedicated HSMs, specific cryptographic operations",,,,,,,,,,,,,,,,,,,,,,,,,
callout,Security & Identity,,Encryption: KMS & CloudHSM,- **Need managed encryption with AWS service integration?** → KMS\n- **Need FIPS 140-2 Level 3?** → CloudHSM\n- **Need full control over key lifecycle?** → CloudHSM\n- **Need asymmetric encryption (RSA)?** → CloudHSM (or KMS asymmetric keys)\n- **Default choice for encryption at rest?** → KMS,,,,,,,,,,,,,,,,,,exam_note,KMS vs CloudHSM Decision,,,,,,
question,Security & Identity,,Encryption: KMS & CloudHSM,,"In envelope encryption, what encrypts the actual data?",fill_blank,,,,,,,,"In envelope encryption, the Data Encryption Key (DEK) encrypts the actual data. The DEK itself is then encrypted by the KMS master key. This two-tier approach allows encrypting large data without sending it to KMS (only the DEK is sent).",3,KMS;envelope encryption,Data Encryption Key|DEK|data encryption key|data key|the DEK,contains,,,,,,,,,,,
question,Security & Identity,,Encryption: KMS & CloudHSM,,A company requires FIPS 140-2 Level 3 validated encryption for regulatory compliance. Which AWS service meets this requirement?,multiple_choice,AWS KMS,AWS CloudHSM,AWS Certificate Manager,AWS Secrets Manager,,,b,"AWS CloudHSM provides dedicated HSMs validated at FIPS 140-2 Level 3. KMS is FIPS 140-2 Level 2 validated. When regulations specifically require Level 3, CloudHSM is the answer.",3,CloudHSM;FIPS;compliance,,,,,,,,,,,,,
structure,Security & Identity,,Security Services,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Security & Identity,,Security Services,"## AWS Security Services\n\n### Threat Detection\n- **Amazon GuardDuty:** Intelligent threat detection using ML. Analyzes CloudTrail, VPC Flow Logs, and DNS logs. Detects: compromised instances, reconnaissance, credential compromise.\n- **Amazon Inspector:** Automated vulnerability assessment for EC2 instances, ECR container images, and Lambda functions.\n- **Amazon Macie:** Discovers and protects sensitive data (PII, credit card numbers) in S3 using ML.\n\n### Protection\n- **AWS WAF (Web Application Firewall):** Protects against common web exploits (SQL injection, XSS). Applied to ALB, API Gateway, or CloudFront.\n- **AWS Shield:** DDoS protection. Shield Standard is free (automatic). Shield Advanced provides enhanced detection, 24/7 DRT, and cost protection.\n- **AWS Firewall Manager:** Centrally manage WAF rules, Shield, and Security Groups across accounts.\n\n### Compliance & Auditing\n- **AWS CloudTrail:** Logs all API calls across AWS account. Essential for auditing and compliance.\n- **AWS Config:** Tracks resource configuration changes and evaluates compliance against rules.\n- **AWS Audit Manager:** Automates evidence collection for audits.\n\n### Secrets Management\n- **AWS Secrets Manager:** Store, rotate, and manage database credentials, API keys, and other secrets. Supports automatic rotation via Lambda.\n- **AWS Systems Manager Parameter Store:** Simpler key-value store for configuration and secrets (free tier available).",,,,,,,,,,,,,,,,,,,,,,,,,
question,Security & Identity,,Security Services,,Match each AWS security service to the threat it addresses:,matching,,,,,,,,GuardDuty uses ML to detect account compromise and unusual activity. WAF filters malicious web requests. Shield provides DDoS protection. Macie discovers sensitive data in S3.,2,security services,,,,GuardDuty|WAF|Shield|Macie,Compromised EC2 instances and unusual API activity|SQL injection and cross-site scripting attacks|DDoS attacks on infrastructure and applications|Sensitive data (PII) exposed in S3 buckets,,,,,,,,
question,Security & Identity,,Security Services,,A company needs to protect their public-facing web application against SQL injection and cross-site scripting attacks. Which services should they use? (Select TWO),multiple_select,AWS WAF on the Application Load Balancer,Amazon GuardDuty,AWS Shield Standard,Amazon CloudFront with AWS WAF,,,"a,d","AWS WAF can be deployed on either ALB (a) or CloudFront (d) to inspect and filter HTTP requests for SQL injection and XSS patterns. CloudFront + WAF also provides edge-level protection. GuardDuty detects threats but doesn't block web attacks. Shield protects against DDoS, not SQL injection.",3,WAF;web security,,,,,,,,,,,,,
question,Security & Identity,,Security Services,,Which AWS service provides a complete log of all API calls made in your AWS account for auditing purposes?,multiple_choice,Amazon CloudWatch,AWS CloudTrail,AWS Config,AWS X-Ray,,,b,"CloudTrail records all API calls (who, what, when, from where) across your AWS account. It's the primary service for API auditing and compliance. CloudWatch monitors metrics and logs. Config tracks resource configurations. X-Ray traces application requests.",1,CloudTrail;auditing,,,,,,,,,,,,,
structure,Monitoring & Cost Optimization,"CloudWatch monitoring, infrastructure as code, and strategies for managing and reducing AWS costs.",,,,,,,,,,,,,,,,,,,,,,,,,,,
structure,Monitoring & Cost Optimization,,CloudWatch & CloudTrail,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Monitoring & Cost Optimization,,CloudWatch & CloudTrail,"## Monitoring with CloudWatch & CloudTrail\n\n### Amazon CloudWatch\nCollects and visualizes **metrics, logs, and events** from AWS resources.\n\n**Metrics:** CPU utilization, network I/O, disk reads, custom metrics from applications.\n- Default: 5-minute intervals (free)\n- Detailed monitoring: 1-minute intervals (extra cost)\n- Custom metrics: push your own data via API\n\n**Alarms:** Trigger actions based on metric thresholds:\n- Auto Scaling actions (scale up/down)\n- SNS notifications (email, SMS)\n- EC2 actions (stop, terminate, reboot)\n\n**Logs:** Centralized log management:\n- Collect logs from EC2, Lambda, API Gateway, Route 53, etc.\n- Log Insights for interactive querying\n- Metric filters to create custom metrics from log data\n\n### CloudTrail vs CloudWatch\n\n| | CloudTrail | CloudWatch |\n|-|-----------|------------|\n| **What** | API call history | Metrics, logs, alarms |\n| **Purpose** | Auditing & compliance | Monitoring & operations |\n| **Question** | ""Who did what?"" | ""How is it performing?"" |",,,,,,,,,,,,,,,,,,,,,,,,,
question,Monitoring & Cost Optimization,,CloudWatch & CloudTrail,,Match each monitoring scenario to the correct AWS service:,matching,,,,,,,,CloudWatch Alarms monitor metrics and trigger actions. CloudTrail records who performed what API action. CloudWatch Logs Insights enables interactive log analysis.,2,CloudWatch;CloudTrail,,,,Alert when CPU exceeds 80%|Determine who deleted an S3 bucket|Search application logs for error patterns,CloudWatch Alarm|CloudTrail|CloudWatch Logs Insights,,,,,,,,
question,Monitoring & Cost Optimization,,CloudWatch & CloudTrail,,An EC2 instance's CPU usage spikes to 95%. Which service would you use to automatically add more instances to handle the load?,multiple_choice,CloudWatch Alarm → Auto Scaling Group scale-out policy,CloudTrail → Lambda function to launch instances,AWS Config → Auto remediation,GuardDuty → Automated response,,,a,A CloudWatch Alarm monitors the CPU metric and triggers an Auto Scaling Group scale-out policy when the threshold is breached. This is the standard pattern for dynamic scaling in AWS.,2,CloudWatch;Auto Scaling,,,,,,,,,,,,,
structure,Monitoring & Cost Optimization,,Infrastructure as Code,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Monitoring & Cost Optimization,,Infrastructure as Code,"## Infrastructure as Code (IaC)\n\nDefine and provision infrastructure through code rather than manual console clicks. Benefits: version control, repeatability, consistency, automation.\n\n### AWS CloudFormation\nAWS's native IaC service. Define infrastructure in **JSON or YAML templates.**\n\n**Key concepts:**\n- **Template:** Declares AWS resources (EC2, S3, VPC, etc.) and their configurations\n- **Stack:** A collection of AWS resources managed as a single unit from a template\n- **Change Sets:** Preview changes before applying them to a stack\n- **Drift Detection:** Identify resources that have been modified outside CloudFormation\n- **StackSets:** Deploy stacks across multiple accounts and regions\n\n### AWS CDK (Cloud Development Kit)\nDefine infrastructure using familiar programming languages (TypeScript, Python, Java, etc.) that compile down to CloudFormation templates.\n\n### Terraform\nThird-party IaC tool (by HashiCorp) that works with AWS and other cloud providers. Uses HCL (HashiCorp Configuration Language). Popular for multi-cloud environments.\n\n### AWS Elastic Beanstalk\nPaaS that automatically provisions infrastructure (EC2, ALB, ASG, RDS) from your application code. Not pure IaC, but automates infrastructure deployment.",,,,,,,,,,,,,,,,,,,,,,,,,
question,Monitoring & Cost Optimization,,Infrastructure as Code,,A company needs to deploy identical infrastructure across 5 AWS accounts in 3 regions. Which CloudFormation feature enables this?,multiple_choice,CloudFormation Stacks,CloudFormation StackSets,CloudFormation Change Sets,CloudFormation Drift Detection,,,b,StackSets extend CloudFormation stacks across multiple accounts and regions with a single operation. You define the template once and deploy it across 5 accounts × 3 regions = 15 stack instances.,2,CloudFormation;StackSets,,,,,,,,,,,,,
question,Monitoring & Cost Optimization,,Infrastructure as Code,,"Infrastructure as Code should be stored in version control (e.g., Git) to track changes over time.",true_false,True,False,,,,,a,"True. One of the primary benefits of IaC is that templates can be version-controlled, code-reviewed, and audited just like application code. This provides a history of infrastructure changes and enables rollback.",1,IaC;best practices,,,,,,,,,,,,,
structure,Monitoring & Cost Optimization,,Cost Management,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Monitoring & Cost Optimization,,Cost Management,"## AWS Cost Optimization\n\n### Key Strategies\n\n1. **Right-sizing:** Match instance types to actual workload needs. Use AWS Compute Optimizer for recommendations.\n\n2. **Reserved capacity:** Reserved Instances or Savings Plans for steady-state workloads (up to 72% savings).\n\n3. **Spot Instances:** For fault-tolerant batch processing (up to 90% savings).\n\n4. **Auto Scaling:** Scale down during low-demand periods — don't pay for idle resources.\n\n5. **Storage tiering:** Use S3 lifecycle policies to move data to cheaper tiers. Delete unused EBS snapshots and volumes.\n\n6. **Serverless:** Lambda, Fargate, DynamoDB on-demand — pay only for what you use.\n\n### AWS Cost Management Tools\n\n- **AWS Cost Explorer:** Visualize and analyze spending patterns over time\n- **AWS Budgets:** Set custom budgets and receive alerts when thresholds are exceeded\n- **AWS Cost and Usage Report (CUR):** Most detailed billing data (for BI tools)\n- **AWS Trusted Advisor:** Checks for cost optimization opportunities (idle resources, underutilized instances)\n- **AWS Compute Optimizer:** ML-based right-sizing recommendations for EC2, Lambda, EBS\n- **AWS Organizations consolidated billing:** Volume discounts across accounts",,,,,,,,,,,,,,,,,,,,,,,,,
question,Monitoring & Cost Optimization,,Cost Management,,Order these cost optimization actions from highest typical savings to lowest:,ordering,Use Spot Instances for batch workloads (up to 90% savings),Purchase Reserved Instances for steady-state (up to 72% savings),Move infrequently accessed S3 data to Glacier (varies),Delete unused EBS snapshots and volumes,,,,Spot offers the highest percentage savings (up to 90%). Reserved capacity provides substantial savings (up to 72%). Storage tiering reduces storage costs incrementally. Deleting unused resources eliminates waste but typically smaller absolute amounts.,2,cost optimization,,,"a,b,c,d",,,,,,,,,,
question,Monitoring & Cost Optimization,,Cost Management,,Match each AWS cost tool to its primary function:,matching,,,,,,,,Cost Explorer shows where you've spent money. Budgets alert you before you overspend. Compute Optimizer suggests better instance types. Trusted Advisor provides broad best-practice checks across multiple categories.,2,cost management;AWS tools,,,,Cost Explorer|AWS Budgets|Compute Optimizer|Trusted Advisor,"Visualize and analyze historical spending patterns|Set spending thresholds and receive alerts|ML-based right-sizing recommendations for EC2 and Lambda|Broad checks for cost, security, performance, and fault tolerance",,,,,,,,
question,Monitoring & Cost Optimization,,Cost Management,,A company is running an EC2 instance at 5% average CPU utilization 24/7. What is the most impactful cost optimization?,multiple_choice,Purchase a Reserved Instance for the current instance type,"Right-size to a smaller instance type, then consider Reserved pricing",Convert to Spot Instance,Enable detailed CloudWatch monitoring,,,b,"At 5% CPU, the instance is massively over-provisioned. Right-sizing first (e.g., from m5.xlarge to m5.small or t3.small) reduces the base cost. Then apply Reserved pricing for additional savings. Buying a Reserved Instance for the wrong size locks you into waste.",3,cost optimization;right-sizing,,,,,,,,,,,,,
watch,Compute & Networking,,VPC Deep Dive,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=bGDMeD6kOz0
embed,Storage & Databases,,S3 Storage Classes,,,,,,,,,,,,,,,,,,,,,image,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=800,Cloud storage infrastructure - S3 provides virtually unlimited object storage across multiple storage classes,Server racks in a modern data center with blue lighting,,
callout,Security & Identity,,IAM Deep Dive,"**The root account has unrestricted access to all AWS resources.** Never use root credentials for daily tasks. Instead:\n\n- Enable MFA on the root account immediately\n- Create an IAM admin user for day-to-day work\n- Store root credentials in a secure vault\n- Only use root for tasks that specifically require it (e.g., changing account settings, closing the account)",,,,,,,,,,,,,,,,,,warning,Never Use Root Credentials,,,,,,
embed,Compute & Networking,,Lambda & Serverless,,,,,,,,,,,,,,,,,,,,,diagram,,,,sequenceDiagram\n  participant Client\n  participant API as API Gateway\n  participant Lambda\n  participant DB as DynamoDB\n  Client->>API: HTTP Request\n  API->>Lambda: Invoke function\n  Lambda->>DB: Query data\n  DB-->>Lambda: Return results\n  Lambda-->>API: Response payload\n  API-->>Client: HTTP Response\n  Note over Lambda: Cold start on first invocation\n  Note over Lambda: Warm for subsequent calls,
embed,Cloud Architecture & Design,,Disaster Recovery Strategies,,,,,,,,,,,,,,,,,,,,,diagram,,,,stateDiagram-v2\n  [*] --> Normal: All systems healthy\n  Normal --> Degraded: Component failure detected\n  Degraded --> Failover: Threshold exceeded\n  Failover --> DR_Active: Failover complete\n  DR_Active --> Recovery: Primary restored\n  Recovery --> Normal: Failback complete\n  Degraded --> Normal: Self-healed\n  note right of Failover: RTO clock starts here\n  note right of DR_Active: RPO determines data loss,
