row_type,module_title,module_description,lesson_title,lesson_body,question_text,question_type,option_a,option_b,option_c,option_d,option_e,option_f,correct_answers,explanation,difficulty,tags,acceptable_answers,match_mode,correct_order,matching_left,matching_right,callout_style,callout_title,embed_type,url,caption,alt,mermaid,video_url
callout,Harmony & Progressions,,Common Progressions,"Roman numerals describe the **function** of each chord relative to the key, not the specific notes. This means:\n- I-IV-V-I in C = C-F-G-C\n- I-IV-V-I in G = G-C-D-G\n- I-IV-V-I in A = A-D-E-A\n\nSame progression, different keys. This is why musicians think in Roman numerals — it's a universal language that works in any key.",,,,,,,,,,,,,,,,,,key_concept,Why Roman Numerals?,,,,,,
question,Harmony & Progressions,,Common Progressions,,"The progression I - V - vi - IV is sometimes called the ""pop progression"" because it appears in hundreds of popular songs.",true_false,True,False,,,,,a,"True. The I-V-vi-IV progression (in C: C-G-Am-F) is extraordinarily common in popular music. Its popularity comes from its balanced mix of bright major chords (I, IV, V) with the emotional depth of the minor vi chord.",1,chord progressions;pop music,,,,,,,,,,,,,
question,Harmony & Progressions,,Common Progressions,,Match each progression to its common name or style:,matching,,,,,,,,Each progression has a distinct emotional character due to the order of harmonic functions. I-IV-V-I is the most basic. I-V-vi-IV adds an emotional dip with the vi. ii-V-I is the smoothest resolution. I-vi-IV-V starts stable then builds.,2,chord progressions,,,,I - IV - V - I|I - V - vi - IV|ii - V - I|I - vi - IV - V,"The foundational progression (rock, folk, blues)|The pop progression (modern pop/rock)|The jazz turnaround|The 50s/doo-wop progression",,,,,,,,
structure,Harmony & Progressions,,Cadences,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Harmony & Progressions,,Cadences,"## Cadences: Musical Punctuation\n\nA **cadence** is a harmonic formula at the end of a phrase, like punctuation in language. Cadences tell the listener whether the music is pausing, stopping, or continuing.\n\n### The Four Main Cadences\n\n**Perfect Authentic Cadence (PAC)** — V → I (or V7 → I)\n- Both chords in root position, melody ends on the tonic\n- Sounds: completely resolved, final (like a period)\n- The strongest possible ending\n\n**Imperfect Authentic Cadence (IAC)** — V → I\n- One or both chords inverted, or melody doesn't end on tonic\n- Sounds: resolved but less final (like a period but weaker)\n\n**Half Cadence (HC)** — any chord → V\n- Ends on the dominant — feels incomplete\n- Sounds: like a comma or question mark — ""there's more to come""\n\n**Plagal Cadence** — IV → I\n- The ""Amen"" cadence (used at the end of hymns)\n- Sounds: warm, gentle resolution\n\n**Deceptive Cadence** — V → vi (instead of expected I)\n- Sets up V → I resolution but ""deceives"" by going to vi instead\n- Sounds: surprising, like ""I thought it was ending, but it didn't""\n- Extends the phrase and delays final resolution",,,,,,,,,,,,,,,,,,,,,,,,,
question,Harmony & Progressions,,Cadences,,Match each cadence to its effect:,matching,,,,,,,,Cadences are the grammar of music. PAC is a full stop. Half cadence is a pause. Plagal cadence is a soft close. Deceptive cadence is a plot twist — the ear expects resolution but gets surprise instead.,2,cadences,,,,Perfect Authentic (V → I)|Half Cadence (→ V)|Plagal (IV → I)|Deceptive (V → vi),"Complete resolution, like a period — the music is done|Incomplete, like a comma — there is more to come|Gentle resolution, like the Amen at the end of a hymn|Unexpected turn, the expected resolution is avoided",,,,,,,,
question,Harmony & Progressions,,Cadences,,A phrase that ends on a V chord (dominant) without resolving to I is called a:,multiple_choice,Perfect authentic cadence,Half cadence,Plagal cadence,Deceptive cadence,,,b,"A half cadence ends on V — it creates a sense of incompleteness and expectation. The music pauses on tension without resolving. It's like ending a sentence with ""and then..."" — the listener waits for what comes next.",2,cadences;half cadence,,,,,,,,,,,,,
question,Harmony & Progressions,,Cadences,,"The plagal cadence (IV → I) is sometimes called the ""Amen"" cadence.",true_false,True,False,,,,,a,"True. The IV-I plagal cadence is traditionally used at the end of hymns for the word ""Amen."" It has a warm, gentle quality that feels conclusive without the strong tension-resolution of V-I.",1,plagal cadence,,,,,,,,,,,,,
structure,Form & Analysis,"Recognizing the large-scale structures of music: binary and ternary forms, sonata form, rondo, and the blues.",,,,,,,,,,,,,,,,,,,,,,,,,,,
structure,Form & Analysis,,Binary and Ternary Form,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Form & Analysis,,Binary and Ternary Form,"## Musical Form\n\n**Form** is the overall structure of a piece — how sections are organized. We label sections with letters: A, B, C, etc.\n\n### Binary Form (A-B)\nTwo contrasting sections:\n- **Section A:** Establishes the main idea, often in the tonic key\n- **Section B:** Contrasting material, often in a related key\n\nCommon in Baroque dance movements (minuets, gavottes). Each section is usually repeated: ||: A :||: B :||\n\n### Ternary Form (A-B-A)\nThree sections where the third is a return of the first:\n- **A:** Main theme in the tonic\n- **B:** Contrasting middle section (different key, melody, or character)\n- **A:** Return of the opening theme, providing closure\n\nThe A-B-A structure is extremely satisfying because the return of A gives a sense of homecoming. Used in: da capo arias, minuet and trio, many pop songs (verse-chorus-verse).\n\n### Rounded Binary (A-B-A')\nA hybrid: two-part structure but the B section ends with a return of A material:\n- ||: A :||: B + A' :||\n\nThis evolved into sonata form — the most important form in Classical music.",,,,,,,,,,,,,,,,,,,,,,,,,
embed,Form & Analysis,,Binary and Ternary Form,,,,,,,,,,,,,,,,,,,,,diagram,,,,"graph LR\n  subgraph ""Binary (AB)""\n    A1[""A<br>Tonic key""] --> B1[""B<br>Related key""]\n  end\n  subgraph ""Ternary (ABA)""\n    A2[""A<br>Tonic""] --> B2[""B<br>Contrasting""] --> A3[""A<br>Return to tonic""]\n  end",
question,Form & Analysis,,Binary and Ternary Form,,What is the key structural difference between binary and ternary form?,multiple_choice,"Binary has two sections; ternary has three, with the first section returning at the end",Binary is always in major keys; ternary is always in minor keys,Binary uses chords; ternary uses only melody,There is no structural difference — they sound the same,,,a,"Binary form (AB) presents two sections without return. Ternary form (ABA) brings back the opening section at the end, creating a satisfying sense of closure and symmetry. The return of A is the defining feature of ternary form.",1,binary form;ternary form,,,,,,,,,,,,,
question,Form & Analysis,,Binary and Ternary Form,,Match each form to its section structure:,matching,,,,,,,,Binary has two parts. Ternary has three with a full return. Rounded binary is a hybrid where A material returns at the end of the B section (A' means a modified version of A).,2,musical form,,,,Binary form|Ternary form|Rounded binary,A - B|A - B - A|A - B - A' (A material returns within B section),,,,,,,,
structure,Form & Analysis,,Sonata and Rondo,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Form & Analysis,,Sonata and Rondo,"## Sonata Form\n\nThe most important form in Classical-era music (Mozart, Beethoven, Haydn). Used in symphonies, sonatas, concertos, and chamber music.\n\n### Three Main Sections:\n\n**1. Exposition** — Presents two contrasting themes:\n- Theme 1 (in the tonic key)\n- Transition (modulates)\n- Theme 2 (in a new key, usually the dominant or relative major)\n- Closing section\n- Usually repeated: ||: Exposition :||\n\n**2. Development** — The dramatic heart:\n- Themes are fragmented, combined, transformed\n- Moves through multiple keys (tonal instability)\n- Builds tension and drama\n\n**3. Recapitulation** — Resolution:\n- Theme 1 returns in the tonic\n- Theme 2 also returns, but now in the **tonic** (the key conflict is resolved)\n- Optional **Coda** (concluding section)\n\n## Rondo Form\n\nA recurring theme alternates with contrasting episodes:\n- **A-B-A-C-A** (five-part rondo)\n- **A-B-A-C-A-B-A** (seven-part rondo / sonata-rondo)\n\nThe A section (refrain) always returns in the tonic. B and C are episodes in contrasting keys. Rondos have a playful, light character — common in final movements.",,,,,,,,,,,,,,,,,,,,,,,,,
question,Form & Analysis,,Sonata and Rondo,,Put the sections of sonata form in the correct order:,ordering,"Development — themes transformed, tonal instability",Exposition — two themes presented in different keys,Recapitulation — both themes return in the tonic key,,,,,"Sonata form follows a dramatic arc: Exposition (present the material and conflict), Development (explore and create tension), Recapitulation (resolve the conflict by bringing everything back to the home key).",2,sonata form,,,"b,a,c",,,,,,,,,,
question,Form & Analysis,,Sonata and Rondo,,"In sonata form, the key conflict between Theme 1 and Theme 2 is resolved in which section?",multiple_choice,The Exposition,The Development,The Recapitulation,The Coda,,,c,"In the Exposition, Theme 2 is in a different key (creating tonal tension). In the Recapitulation, Theme 2 returns in the **tonic** key — the same key as Theme 1. This resolves the key conflict and provides closure.",3,sonata form;recapitulation,,,,,,,,,,,,,
structure,Form & Analysis,,Blues and Popular Forms,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Form & Analysis,,Blues and Popular Forms,"## The 12-Bar Blues\n\nThe **12-bar blues** is one of the most influential chord progressions in Western music. It uses only three chords (I, IV, V) over 12 measures:\n\n```\nBar:  | 1    | 2    | 3    | 4    |\nChord:| I    | I    | I    | I    |\n\nBar:  | 5    | 6    | 7    | 8    |\nChord:| IV   | IV   | I    | I    |\n\nBar:  | 9    | 10   | 11   | 12   |\nChord:| V    | IV   | I    | V    |\n```\n\nIn C: C-C-C-C | F-F-C-C | G-F-C-G\n\nThe final bar (V) creates a **turnaround** that leads back to bar 1 for the next verse.\n\n## Common Pop Song Forms\n\n**Verse-Chorus:** The most common pop structure\n- Intro → Verse → Chorus → Verse → Chorus → Bridge → Chorus → Outro\n\n**AABA (32-bar form):** Classic in jazz standards and early pop\n- A (8 bars) → A (8 bars) → B/Bridge (8 bars) → A (8 bars)\n\n**Through-composed:** No repeating sections — each part is new. Rare in pop, more common in art songs and film scores.\n\nThe beauty of the 12-bar blues is its simplicity: three chords, 12 bars, infinite possibilities for melody and improvisation.",,,,,,,,,,,,,,,,,,,,,,,,,
callout,Form & Analysis,,Blues and Popular Forms,"Blues musicians often play over the 12-bar progression using the **blues scale:** 1 - ♭3 - 4 - ♯4/♭5 - 5 - ♭7\n\nIn C: C - E♭ - F - F#/G♭ - G - B♭\n\nThe ♭3 and ♭7 are the signature ""blue notes"" that give the blues its characteristic sound. The ♯4/♭5 (the ""blue note"" proper) adds tension and expressiveness.",,,,,,,,,,,,,,,,,,tip,Blues Scale,,,,,,
question,Form & Analysis,,Blues and Popular Forms,,"Put the chord changes of the basic 12-bar blues in order (showing bars 1-4, 5-8, 9-12):",ordering,Bars 5-8: IV - IV - I - I,Bars 1-4: I - I - I - I,Bars 9-12: V - IV - I - V (turnaround),,,,,"The 12-bar blues: start on I for 4 bars (b), move to IV for 2 bars then back to I (a), and end with V-IV-I-V where the final V creates the turnaround (c). Only three chords create one of music's most enduring structures.",2,12-bar blues,,,"b,a,c",,,,,,,,,,
question,Form & Analysis,,Blues and Popular Forms,,How many measures (bars) are in a standard 12-bar blues progression?,fill_blank,,,,,,,,"The name says it all — 12 bars! This 12-bar structure repeats for each verse. The simplicity and repetition make it ideal for improvisation, which is why it became the foundation of blues, early rock and roll, and jazz.",1,12-bar blues,12|twelve|12 bars,exact,,,,,,,,,,,
question,Form & Analysis,,Blues and Popular Forms,,"In a 12-bar blues in the key of G, the IV chord would be:",multiple_choice,D,C,E,A,,,b,"In G Major, the 4th degree is C (G-A-B-C). So the IV chord is C Major. The 12-bar blues in G uses: G (I), C (IV), and D (V).",2,12-bar blues;transposition,,,,,,,,,,,,,
watch,Scales & Keys,,Major Scales,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=rgaTLrZGlk0
embed,Rhythm & Notation,,Note Values and Rests,,,,,,,,,,,,,,,,,,,,,image,https://images.unsplash.com/photo-1507838153414-b4b713384a76?w=800,Musical notation on sheet music - the visual language of rhythm and melody,Sheet music with musical notes on a staff,,
callout,Intervals & Chords,,Triads,"**C-sharp and D-flat are the same pitch but different notes.** In music theory, the name matters for context. A C major triad is C-E-G, never C-E-Abb (even though Abb sounds the same as G). Using the wrong enharmonic spelling makes chord analysis unreadable and is a common exam mistake.",,,,,,,,,,,,,,,,,,warning,Enharmonic Confusion,,,,,,
callout,Harmony & Progressions,,Common Progressions,This single progression appears in hundreds of pop songs. In the key of C: **C - G - Am - F**. In G: **G - D - Em - C**. Being able to instantly identify and transpose this pattern is essential for any theory exam or practical application.,,,,,,,,,,,,,,,,,,exam_note,The I-V-vi-IV Progression,,,,,,
embed,Harmony & Progressions,,Cadences,,,,,,,,,,,,,,,,,,,,,diagram,,,,"sequenceDiagram\n  participant T as Tonic (I)\n  participant S as Subdominant (IV)\n  participant D as Dominant (V)\n  Note over T,D: Authentic Cadence\n  D->>T: V -> I (strongest resolution)\n  Note over T,D: Plagal Cadence\n  S->>T: IV -> I (""Amen"" cadence)\n  Note over T,D: Half Cadence\n  T->>D: I -> V (feels unfinished)\n  Note over T,D: Deceptive Cadence\n  D->>S: V -> vi (surprise!)",
